onset	duration	brlr
32.84	0.04	12
32.88	0.04	12
32.92	0.04	12
32.96	0.04	12
33.00	0.04	12
33.04	0.04	13
33.08	0.04	12
33.12	0.04	11
33.16	0.04	11
33.20	0.04	11
33.24	0.04	12
33.28	0.04	11
33.32	0.04	12
33.36	0.04	12
33.40	0.04	12
33.44	0.04	12
33.48	0.04	13
33.52	0.04	14
33.56	0.04	15
33.60	0.04	15
33.64	0.04	15
33.68	0.04	14
33.72	0.04	15
33.76	0.04	15
33.80	0.04	13
33.84	0.04	13
33.88	0.04	12
33.92	0.04	12
33.96	0.04	10
34.00	0.04	8
34.04	0.04	8
34.08	0.04	6
34.12	0.04	5
34.16	0.04	3
34.20	0.04	0
34.24	0.04	0
34.28	0.04	-1
34.32	0.04	-1
34.36	0.04	-2
34.40	0.04	-3
34.44	0.04	-3
34.48	0.04	-3
34.52	0.04	-4
34.56	0.04	-4
34.60	0.04	-5
34.64	0.04	-4
34.68	0.04	-3
34.72	0.04	-3
34.76	0.04	0
34.80	0.04	2
34.84	0.04	4
34.88	0.04	7
34.92	0.04	9
34.96	0.04	11
35.00	0.04	12
35.04	0.04	13
35.08	0.04	13
35.12	0.04	14
35.16	0.04	13
35.20	0.04	13
35.24	0.04	13
35.28	0.04	12
35.32	0.04	12
35.36	0.04	11
35.40	0.04	10
35.44	0.04	8
35.48	0.04	7
35.52	0.04	8
35.56	0.04	7
35.60	0.04	5
35.64	0.04	5
35.68	0.04	3
35.72	0.04	3
35.76	0.04	3
35.80	0.04	5
35.84	0.04	8
35.88	0.04	12
35.92	0.04	16
35.96	0.04	24
36.00	0.04	34
36.04	0.04	38
36.08	0.04	37
36.12	0.04	37
36.16	0.04	36
36.20	0.04	33
36.24	0.04	33
36.28	0.04	34
36.32	0.04	37
36.36	0.04	40
36.40	0.04	42
36.44	0.04	43
36.48	0.04	40
36.52	0.04	40
36.56	0.04	41
36.60	0.04	41
36.64	0.04	40
36.68	0.04	39
36.72	0.04	38
36.76	0.04	39
36.80	0.04	39
36.84	0.04	39
36.88	0.04	36
36.92	0.04	36
36.96	0.04	36
37.00	0.04	36
37.04	0.04	35
37.08	0.04	35
37.12	0.04	35
37.16	0.04	35
37.20	0.04	34
37.24	0.04	33
37.28	0.04	33
37.32	0.04	33
37.36	0.04	34
37.40	0.04	35
37.44	0.04	34
37.48	0.04	34
37.52	0.04	33
37.56	0.04	34
37.60	0.04	34
37.64	0.04	33
37.68	0.04	33
37.72	0.04	33
37.76	0.04	33
37.80	0.04	33
37.84	0.04	32
37.88	0.04	33
37.92	0.04	34
37.96	0.04	34
38.00	0.04	33
38.04	0.04	31
38.08	0.04	30
38.12	0.04	30
38.16	0.04	27
38.20	0.04	28
38.24	0.04	28
38.28	0.04	28
38.32	0.04	27
38.36	0.04	26
38.40	0.04	27
38.44	0.04	26
38.48	0.04	25
38.52	0.04	25
38.56	0.04	24
38.60	0.04	23
38.64	0.04	23
38.68	0.04	21
38.72	0.04	22
38.76	0.04	21
38.80	0.04	21
38.84	0.04	21
38.88	0.04	20
38.92	0.04	19
38.96	0.04	19
39.00	0.04	18
39.04	0.04	17
39.08	0.04	17
39.12	0.04	17
39.16	0.04	17
39.20	0.04	16
39.24	0.04	16
39.28	0.04	16
39.32	0.04	16
39.36	0.04	17
39.40	0.04	16
39.44	0.04	16
39.48	0.04	16
39.52	0.04	16
39.56	0.04	17
39.60	0.04	17
39.64	0.04	17
39.68	0.04	16
39.72	0.04	17
39.76	0.04	16
39.80	0.04	17
39.84	0.04	16
39.88	0.04	17
39.92	0.04	16
39.96	0.04	16
40.00	0.04	17
40.04	0.04	16
40.08	0.04	17
40.12	0.04	17
40.16	0.04	16
40.20	0.04	16
40.24	0.04	16
40.28	0.04	16
40.32	0.04	16
40.36	0.04	15
